epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,265.981,0.6498,0.82,1.4009,1.20036,0.89218,0.5,0.97,0.87916,0.89218,0.5,0.97,0.6176,0.66759,4.70974,1.58004,1.7007,0.00099044,0.00099044,0.00099044
33,274.338,0.68303,0.73441,1.37233,1.20857,0.96547,0.5,0.995,0.87993,0.96547,0.5,0.995,0.71507,0.58199,2.91609,1.425,1.65992,0.000976293,0.000976293,0.000976293
34,281.599,0.54568,0.5671,1.26755,1.13077,0.47727,1,0.92,0.65119,0.47727,1,0.92,0.77296,0.81563,1.06102,1.63559,1.74893,0.000962146,0.000962146,0.000962146
35,289.453,0.61986,0.68399,1.33312,1.1485,0.36724,1,0.74625,0.3949,0.36724,1,0.74625,0.5012,1.05359,1.00243,1.86677,1.90358,0.000947999,0.000947999,0.000947999
36,296.285,0.64186,0.78486,1.30043,1.19517,0.50584,1,0.66333,0.54295,0.50584,1,0.66333,0.47452,0.89145,1.5713,1.39492,1.89027,0.000933851,0.000933851,0.000933851
37,303.369,0.62037,0.69941,1.28045,1.16688,0.86618,1,0.995,0.80828,0.86618,1,0.995,0.73066,0.76401,1.34124,1.16606,1.77878,0.000919704,0.000919704,0.000919704
38,310.927,0.63989,0.79457,1.30993,1.20002,0.66212,1,0.995,0.85803,0.66212,1,0.995,0.8,0.55787,1.10145,1.07367,1.60998,0.000905557,0.000905557,0.000905557
39,318.444,0.62612,0.69921,1.22901,1.18518,0.62207,1,0.97,0.91029,0.62207,1,0.97,0.83474,0.44438,1.285,0.98797,1.41276,0.00089141,0.00089141,0.00089141
40,326.836,0.57759,0.7666,1.18821,1.16845,0.66135,1,0.995,0.84575,0.66135,1,0.995,0.90779,0.47631,0.66141,1.05789,1.52423,0.000877263,0.000877263,0.000877263
41,334.154,0.60407,0.67571,1.16953,1.16442,0.89579,0.5,0.67125,0.58921,0.89579,0.5,0.67125,0.54366,0.51247,0.99153,1.25806,1.49013,0.000863116,0.000863116,0.000863116
42,342.124,0.56065,0.6606,1.10533,1.14372,0.98208,0.5,0.62187,0.50059,0.98208,0.5,0.62187,0.34259,0.68871,2.31234,0.96605,1.76213,0.000848969,0.000848969,0.000848969
43,348.792,0.5947,0.68917,1.13276,1.14955,0.47175,1,0.63833,0.54749,0.47175,1,0.63833,0.32534,0.60205,4.06632,0.89278,1.63554,0.000834822,0.000834822,0.000834822
44,356.344,0.644,0.75945,1.14695,1.20026,0.69608,0.75924,0.92,0.78237,0.69608,0.75924,0.92,0.4024,0.75091,8.44749,1.25737,1.812,0.000820675,0.000820675,0.000820675
45,363.609,0.66246,0.73828,1.15653,1.21001,0.86391,0.75,0.945,0.83533,0.86391,0.75,0.945,0.71571,0.77462,2.29264,1.25796,1.92664,0.000806528,0.000806528,0.000806528
46,370.507,0.58291,0.58116,1.04038,1.15337,0.687,1,0.92,0.76845,0.687,1,0.92,0.79574,0.60479,0.64226,1.09315,1.69734,0.00079238,0.00079238,0.00079238
47,378.766,0.56031,0.63131,1.02465,1.14482,0.45363,1,0.945,0.59684,0.45363,1,0.945,0.65154,0.6778,1.06626,1.5297,1.83828,0.000778233,0.000778233,0.000778233
48,386.362,0.58997,0.57237,1.01208,1.13481,0.57891,1,0.97,0.67734,0.89417,0.5,0.4725,0.41112,0.62214,2.78333,1.52727,1.75612,0.000764086,0.000764086,0.000764086
49,394.504,0.57934,0.59434,1.0486,1.16458,0.99288,0.5,0.995,0.84575,0.99288,0.5,0.4975,0.46633,0.6248,1.87292,1.2225,1.71388,0.000749939,0.000749939,0.000749939
50,401.271,0.54986,0.65221,1.03337,1.12861,0.51095,1,0.995,0.82399,0.51095,1,0.995,0.77424,0.53898,0.83808,0.90677,1.53688,0.000735792,0.000735792,0.000735792
51,408.53,0.54512,0.68396,0.95532,1.12547,0.65556,1,0.995,0.85192,0.65556,1,0.995,0.84575,0.58232,0.78474,0.89556,1.58473,0.000721645,0.000721645,0.000721645
52,415.911,0.55649,0.60415,1.00378,1.11929,0.77524,1,0.995,0.92032,0.77524,1,0.995,0.74625,0.56612,0.89212,0.99094,1.56895,0.000707498,0.000707498,0.000707498
53,422.784,0.52274,0.50909,0.92143,1.09099,0.93004,0.95805,0.995,0.87993,0.93004,0.95805,0.995,0.70881,0.58298,1.82135,0.87728,1.64176,0.000693351,0.000693351,0.000693351
54,430.827,0.53201,0.56394,0.9965,1.09741,0.51451,1,0.995,0.91413,0.51451,1,0.995,0.78044,0.56996,0.93448,0.77455,1.69672,0.000679204,0.000679204,0.000679204
55,437.599,0.49966,0.5921,0.83501,1.08728,0.43073,1,0.995,0.91415,0.43073,1,0.995,0.8644,0.54093,0.86803,0.96316,1.60699,0.000665057,0.000665057,0.000665057
56,446.347,0.54163,0.70198,0.91249,1.11742,0.58601,1,0.945,0.82441,0.58601,1,0.945,0.82441,0.59255,0.6312,1.15471,1.53098,0.000650909,0.000650909,0.000650909
57,453.049,0.49281,0.52247,0.81898,1.09425,0.67726,1,0.945,0.89525,0.67726,1,0.945,0.945,0.45533,0.25343,0.93667,1.38671,0.000636762,0.000636762,0.000636762
58,460.827,0.49922,0.69483,0.91997,1.11868,0.82746,1,0.995,0.93284,0.82746,1,0.995,0.88309,0.48285,0.75867,1.0158,1.40641,0.000622615,0.000622615,0.000622615
59,468.279,0.44759,0.56527,0.81102,1.05569,0.88648,1,0.995,0.93283,0.88648,1,0.995,0.94525,0.4379,0.36575,0.86003,1.36362,0.000608468,0.000608468,0.000608468
60,475.786,0.49378,0.57849,0.85567,1.10002,0.93485,0.9782,0.995,0.91211,0.93485,0.9782,0.995,0.94525,0.36461,0.3468,1.41189,1.25224,0.000594321,0.000594321,0.000594321
61,483.585,0.49654,0.59356,0.94849,1.0694,0.74447,1,0.97,0.8896,0.74447,1,0.97,0.92025,0.4078,0.32807,1.55863,1.35315,0.000580174,0.000580174,0.000580174
62,490.415,0.41977,0.46668,0.82559,1.06531,0.69622,1,0.945,0.86785,0.69622,1,0.945,0.89525,0.42855,0.41614,1.26989,1.45986,0.000566027,0.000566027,0.000566027
63,498.276,0.41677,0.52725,0.79199,1.0253,0.83642,0.5,0.995,0.86435,0.83642,0.5,0.995,0.94525,0.52188,0.41085,1.00191,1.56396,0.00055188,0.00055188,0.00055188
64,505.062,0.47525,0.55833,0.82856,1.08071,0.98376,0.5,0.995,0.87995,0.98376,0.5,0.995,0.84575,0.48221,0.50194,0.9441,1.5801,0.000537733,0.000537733,0.000537733
65,513.361,0.47048,0.54762,0.75616,1.08099,0.73363,1,0.995,0.92658,0.73363,1,0.995,0.8955,0.45327,0.43485,0.84426,1.50578,0.000523586,0.000523586,0.000523586
66,520.241,0.51192,0.64612,0.81611,1.10121,0.70889,1,0.995,0.91412,0.70889,1,0.995,0.80429,0.49641,0.98259,0.84954,1.50347,0.000509438,0.000509438,0.000509438
67,527.347,0.49353,0.54184,0.83903,1.09188,0.70772,1,0.995,0.86435,0.70772,1,0.995,0.8955,0.47731,0.42551,0.83919,1.45456,0.000495291,0.000495291,0.000495291
68,535.72,0.49264,0.72398,0.82505,1.07892,0.79173,1,0.995,0.92971,0.79173,1,0.995,0.8955,0.44129,0.39982,0.77936,1.37283,0.000481144,0.000481144,0.000481144
69,542.693,0.43266,0.53838,0.73585,1.0507,0.7627,1,0.995,0.92972,0.7627,1,0.995,0.796,0.47127,0.7555,0.83073,1.45015,0.000466997,0.000466997,0.000466997
70,550.518,0.44906,0.53038,0.74126,1.06785,0.85612,1,0.995,0.92352,0.85612,1,0.995,0.92352,0.41072,0.3666,0.81868,1.38251,0.00045285,0.00045285,0.00045285
71,557.261,0.43179,0.51754,0.74014,1.05719,0.8329,1,0.97,0.89709,0.8329,1,0.97,0.79759,0.41788,0.5548,1.01864,1.4161,0.000438703,0.000438703,0.000438703
72,565.074,0.46434,0.51307,0.81601,1.06903,0.98009,0.91825,0.995,0.92354,0.98009,0.91825,0.995,0.82404,0.42311,0.72306,0.82418,1.41968,0.000424556,0.000424556,0.000424556
73,572.082,0.42135,0.45845,0.73187,1.06912,0.87738,0.97847,0.995,0.92047,0.87738,0.97847,0.995,0.82405,0.52612,0.98874,0.70942,1.54462,0.000410409,0.000410409,0.000410409
74,579.161,0.43423,0.51697,0.72433,1.04446,0.926,1,0.995,0.93286,0.926,1,0.995,0.995,0.37508,0.32998,0.64605,1.29779,0.000396262,0.000396262,0.000396262
75,587.681,0.41038,0.493,0.69873,1.02355,0.96636,1,0.995,0.97947,0.96636,1,0.995,0.94525,0.36935,0.42936,0.66708,1.29269,0.000382115,0.000382115,0.000382115
76,594.785,0.39855,0.50291,0.68944,1.03479,0.94685,1,0.995,0.92972,0.94685,1,0.995,0.8955,0.37911,0.42181,0.67062,1.33177,0.000367967,0.000367967,0.000367967
77,602.419,0.44925,0.55937,0.77096,1.06576,0.92865,1,0.995,0.90802,0.92865,1,0.995,0.8955,0.39808,0.55929,0.68387,1.34504,0.00035382,0.00035382,0.00035382
78,609.387,0.45075,0.52466,0.67716,1.06435,0.85011,1,0.995,0.8665,0.85011,1,0.995,0.8955,0.49072,0.54227,0.72957,1.41331,0.000339673,0.000339673,0.000339673
