                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.35524,                0.46964,                0.93451,                0.77204,                      1,                0.97459,                 0.8812,                0.44428,                0.53096,                  1.049,              0.0012872,              0.0012872,              0.0012872
                     38,                0.36716,                0.46603,                0.94077,                0.96648,                0.82393,                0.97458,                0.92253,                0.37403,                0.47004,                0.93679,              0.0012674,              0.0012674,              0.0012674
                     39,                0.36805,                0.43462,                0.92727,                0.93824,                0.86825,                0.98098,                0.93406,                0.32929,                0.39672,                0.91152,              0.0012476,              0.0012476,              0.0012476
                     40,                0.37829,                 0.4617,                0.94219,                0.91442,                0.91593,                0.97804,                 0.9307,                 0.3299,                0.34031,                0.91822,              0.0012278,              0.0012278,              0.0012278
                     41,                0.36703,                0.47365,                0.92958,                0.91758,                0.95445,                0.97941,                0.95457,                0.28647,                0.35637,                  0.895,               0.001208,               0.001208,               0.001208
                     42,                0.38531,                0.45953,                0.93985,                0.97037,                0.93576,                0.98944,                0.95162,                0.30043,                0.31364,                0.90034,              0.0011882,              0.0011882,              0.0011882
                     43,                0.37156,                0.45825,                0.93447,                0.96907,                0.89534,                0.98722,                0.96524,                0.34306,                0.39909,                0.94262,              0.0011684,              0.0011684,              0.0011684
                     44,                0.36092,                0.45213,                0.93506,                0.86919,                      1,                0.97355,                0.92654,                0.31841,                0.39504,                0.90933,              0.0011486,              0.0011486,              0.0011486
                     45,                0.36589,                0.46025,                0.92853,                0.91843,                0.96527,                0.98536,                0.94222,                0.32809,                0.38702,                0.92137,              0.0011288,              0.0011288,              0.0011288
                     46,                0.36382,                0.43885,                0.93425,                0.96871,                0.88462,                0.98194,                0.92641,                0.32571,                0.43265,                0.90906,               0.001109,               0.001109,               0.001109
                     47,                0.36377,                0.43293,                0.93139,                0.97048,                0.93947,                0.98495,                0.93115,                0.37186,                0.51592,                0.96091,              0.0010892,              0.0010892,              0.0010892
                     48,                0.38191,                0.43052,                0.93954,                 0.9426,                      1,                0.98735,                0.94829,                 0.3501,                0.28616,                0.92506,              0.0010694,              0.0010694,              0.0010694
                     49,                0.35878,                0.42982,                0.92647,                0.95973,                0.94286,                 0.9868,                0.93684,                0.31174,                0.32902,                0.90306,              0.0010496,              0.0010496,              0.0010496
                     50,                0.35476,                0.44171,                0.92947,                0.95368,                0.94286,                0.98734,                0.95076,                0.32278,                0.37143,                0.91531,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.3611,                0.41577,                0.93069,                 0.9696,                0.97143,                0.98381,                0.94879,                0.30726,                 0.3532,                0.91162,                0.00101,                0.00101,                0.00101
                     52,                0.33935,                0.37633,                 0.9216,                0.97036,                      1,                0.99444,                0.93403,                0.36108,                0.70289,                0.94372,              0.0009902,              0.0009902,              0.0009902
                     53,                0.33948,                0.40342,                 0.9233,                      1,                0.93602,                0.98782,                0.95119,                0.30001,                0.31062,                0.89845,              0.0009704,              0.0009704,              0.0009704
                     54,                0.33578,                0.38508,                0.91992,                0.97135,                 0.9688,                0.98878,                 0.9592,                0.27965,                0.28948,                0.89323,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.3455,                0.39887,                0.91859,                0.97221,                0.99945,                0.99028,                0.96066,                 0.2941,                0.24718,                0.89061,              0.0009308,              0.0009308,              0.0009308
                     56,                0.34113,                0.37525,                0.93375,                0.94185,                0.97143,                0.98917,                0.95465,                0.29453,                0.28616,                 0.8937,               0.000911,               0.000911,               0.000911
